Name,Code,Region,Industry,is_alive,expiry_date
"Luoniushan Co., Ltd.",000735,South China,Agriculture,1,
CCCG Real Estate Corporation Limited,000736,SouthWest China,Estate,1,
"NAFINE CHEMICAL INDUSTRY GROUP CO.,LTD",000737,North China,Manufacturing,1,
"AECC AERO-ENGINE CONTROL CO.,LTD.",000738,East China,Manufacturing,1,
"Apeloa Pharmaceutical Co.,Ltd.",000739,East China,Manufacturing,1,
"SEALAND SECURITIES CO., LTD.",000750,South China,Financial,1,
"HULUDAO ZINC INDUSTRY CO.,LTD",000751,NorthEast China,Manufacturing,1,
"TIBET  DEVELOPMENT CO.,LTD",000752,SouthWest China,Manufacturing,1,
"Fujian Zhangzhou Development Co.,Ltd",000753,East China,Wholesale & Retail,1,
"SHANXI ROAD & BRIDGE CO.,LTD.",000755,North China,Transportation,1,
SHANDONG XINHUA PHARMACEUTICAL COMPANY LIMITED,000756,East China,Manufacturing,1,
"SICHUAN HAOWU ELECTROMECHANICAL CO.,LTD.",000757,SouthWest China,Wholesale & Retail,1,
"China Nonferrous Metal Industry""s Foreign Engineering and Construction Co., Ltd.",000758,North China,Mining,1,
"ZHONGBAI HOLDINGS GROUP CO.,LTD.",000759,Central China,Wholesale & Retail,1,
Steyr Motors corp.,000760,Central China,Manufacturing,1,
"BENGANG STEEL PLATES CO.,LTD",000761,NorthEast China,Manufacturing,1,
"TIBET MINERAL DEVELOPMENT CO.,LTD",000762,SouthWest China,Mining,1,
"TONGHUA GOLDEN-HORSE PHARMACEUTICAL INDUSTRY CO,LTD",000766,NorthEast China,Manufacturing,1,
"Jinneng Holding Shanxi  Electric Power Co.,LTD.",000767,North China,Utilities,1,
"AVIC XI""AN AIRCRAFT INDUSTRY GROUP COMPANY LTD.",000768,NorthWest China,Manufacturing,1,
"GF SECURITIES CO.,LTD",000776,South China,Financial,1,
"SUFA Technology Industry Co.,Ltd.,CNNC.",000777,East China,Manufacturing,1,
"XINXING DUCTILE IRON PIPES CO., LTD",000778,North China,Manufacturing,1,
"Gansu Engineering Consulting Group Co., Ltd.",000779,NorthWest China,Research Service,1,
"Inner Mongolia PingZhuang Energy Resources CO.,LTD",000780,North China,Mining,1,
"GUANGDONG XINHUI MEIDA NYLON CO., LTD",000782,South China,Manufacturing,1,
"Changjiang Securities Co., LTD",000783,Central China,Financial,1,
"EASYHOME NEW RETAIL GROUP CO., LTD",000785,Central China,Wholesale & Retail,1,
BEIJING NEW BUILDING MATERIALS PUBLIC LIMITED COMPANY,000786,North China,Manufacturing,1,
"PKU HealthCare Corp., Ltd.",000788,SouthWest China,Manufacturing,1,
"JIANGXI WANNIANQING CEMENT CO.,LTD",000789,East China,Manufacturing,1,
"Chengdu huasun technology group Inc., Ltd",000790,SouthWest China,Manufacturing,1,
